x_np (nm),y_np (nm),z_np (nm),freq (Hz),T (1),A (1),R (1),R+T+A (1),Domain Probe 1 (W),Effective mode index (1)
300,300,19.999,1.9341448903225806E14,0.948522050607178,0.048363137700665915,0.0031148116921561188,1,0.04836267101667232,2.473340872638921+1.0556261898335608E-10i
300,300,109.999,1.9341448903225806E14,0.7835777544860919,0.2089853288775365,0.007436916636371599,1,0.20898565253991835,2.4733414492746784+6.640453242603858E-11i
300,300,200,1.9341448903225806E14,0.81350466799021,0.1855323153456636,9.630166641263995E-4,1,0.185532356430845,2.4733414495127786-5.149425224161886E-11i
300,360,19.999,1.9341448903225806E14,0.9331486421001959,0.06267532002758214,0.004176037872222018,1,0.06267560121830573,2.4733416400438757-4.308638284318018E-11i
300,360,109.999,1.9341448903225806E14,0.7544273157244533,0.23581358914436812,0.009759095131178588,1,0.23581360576411672,2.473340987804236+2.1986646820939354E-12i
300,360,200,1.9341448903225806E14,0.8118661231882742,0.18744109897074124,6.927778409845298E-4,1,0.18744113337159013,2.4733409877536734-8.883730898902182E-12i
300,419.9994,19.999,1.9341448903225806E14,0.9209918853462434,0.07381088646624889,0.005197228187507698,1,0.0738108970430829,2.473341129641862+5.8264698622736E-11i
300,419.9994,109.999,1.9341448903225806E14,0.7360712935683941,0.2523690669852916,0.011559639446314376,1,0.2523690383342055,2.473341129538537-6.412867973276692E-11i
300,419.9994,200,1.9341448903225806E14,0.8007217874332483,0.1984083816870793,8.69830879672421E-4,1,0.19840864495537588,2.4733411295228143+3.059246356648571E-11i
300,480,19.999,1.9341448903225806E14,0.9151576973374188,0.07950883904531547,0.0053334636172657,1,0.07950892750049442,2.4733404080083132+9.82830017308627E-11i
300,480,109.999,1.9341448903225806E14,0.7333329419108545,0.25533308730072257,0.011333970788422935,1,0.25533301816906656,2.47334167391167+4.820313637430759E-11i
300,480,200,1.9341448903225806E14,0.7885314751726944,0.21059118134143295,8.773434858726562E-4,1,0.21059117739068464,2.473341674005486+5.916302780410706E-11i
300,540,19.999,1.9341448903225806E14,0.910974014528684,0.08365475992305027,0.005371225548265721,1,0.08365873581333656,2.4733410303437253+5.567130847319342E-11i
300,540,109.999,1.9341448903225806E14,0.7292861514438183,0.26047177220496587,0.010242076351215901,1,0.26047157913399654,2.473341030423008+7.496527514348755E-11i
300,540,200,1.9341448903225806E14,0.776452629504598,0.22270062059032614,8.467499050758339E-4,1,0.2227010623350943,2.473341030301559-1.4457909993829334E-10i
300,600,19.999,1.9341448903225806E14,0.9077856872441535,0.08713774334015945,0.005076569415687065,1,0.08713796401860834,2.47334035501406-4.622847330350202E-12i
300,600,109.999,1.9341448903225806E14,0.7122008691409357,0.27767012233994415,0.010129008519120145,1,0.2776701828450689,2.4733404453657024-1.1668769823525854E-12i
300,600,200,1.9341448903225806E14,0.76496042565498,0.2344365272946458,6.03047050374128E-4,1,0.2344367749525992,2.473340445414242+1.622949410813597E-12i
350,300,19.999,1.9341448903225806E14,0.9299543677417546,0.06666922701096967,0.003376405247275728,1,0.06666902696955822,2.473314867418417+1.219605951668404E-10i
350,300,109.999,1.9341448903225806E14,0.7619060175503971,0.23094435046109718,0.007149631988505746,1,0.23094438955050645,2.473314867515634-1.901410473409262E-11i
350,300,200,1.9341448903225806E14,0.7838045498619095,0.2150724363726393,0.0011230137654512035,1,0.21507187103384046,2.4733148674110814-4.884843836013189E-11i
350,360,19.999,1.9341448903225806E14,0.906949111602771,0.0877556069545844,0.00529528144264461,1,0.08775565974847532,2.4733403779087726-2.1694903421739387E-11i
350,360,109.999,1.9341448903225806E14,0.7400928395795543,0.2518445044776816,0.008062655942764124,1,0.2518444931738229,2.4733403778847296+1.0622494675968473E-11i
350,360,200,1.9341448903225806E14,0.7801263780069051,0.21911946724267706,7.541547504178359E-4,1,0.2191195122414897,2.473340377928085-7.040117228838874E-11i
350,419.9994,19.999,1.9341448903225806E14,0.8894261231150995,0.10359622195023377,0.006977654934666713,1,0.10359623390254906,2.4733407512802157+7.634507140435678E-12i
350,419.9994,109.999,1.9341448903225806E14,0.7169858120119617,0.27327019887322423,0.009743989114814116,1,0.27327018315259816,2.4733407513298715-1.7794070999796218E-11i
350,419.9994,200,1.9341448903225806E14,0.7638860910104585,0.23531718135168067,7.967276378608931E-4,1,0.23531678857478514,2.4733407512967642+4.37953524292173E-11i
350,480,19.999,1.9341448903225806E14,0.8798659543894292,0.11313512878836962,0.006998916822201226,1,0.11313514244630722,2.4733409808232194-4.4911715133512274E-11i
350,480,109.999,1.9341448903225806E14,0.7105054221851347,0.2794679317852853,0.010026646029580043,1,0.2794696377010541,2.473341222872783+4.5637610977874186E-11i
350,480,200,1.9341448903225806E14,0.7517336135970967,0.2475497705654277,7.166158374756097E-4,1,0.24754976909375034,2.4733412227821465+2.814459945514241E-11i
350,540,19.999,1.9341448903225806E14,0.8723602993389326,0.12076356141247635,0.006876139248591089,1,0.12076359792453806,2.4733407764093105+3.5514240194114E-11i
350,540,109.999,1.9341448903225806E14,0.7074807285793085,0.28423447286652603,0.008284798554165418,1,0.28423464014562344,2.4733716817214293-6.039624474594528E-12i
350,540,200,1.9341448903225806E14,0.738741217667307,0.26072710743003946,5.316749026535436E-4,1,0.26072722624656947,2.473371681800415-1.3555000529299733E-11i
350,600,19.999,1.9341448903225806E14,0.8672164185405884,0.1261304941906103,0.006653087268801309,1,0.12613131707879838,2.4733420157195556-1.865372424293264E-10i
350,600,109.999,1.9341448903225806E14,0.6908497096240184,0.30187826749698066,0.007272022879001013,1,0.30187824736835267,2.4733420204242758+1.5064722070015298E-10i
350,600,200,1.9341448903225806E14,0.7308066210400553,0.2687153034002,4.780755597446173E-4,1,0.26872982590012673,2.473342020512298-7.354703972107877E-11i
400,300,19.999,1.9341448903225806E14,0.8998101804472004,0.09550509623436032,0.004684723318439235,1,0.09550520781433607,2.4733411003623478+3.661818601101854E-12i
400,300,109.999,1.9341448903225806E14,0.7321896447845747,0.26122186186870244,0.006588493346722855,1,0.2612220213799333,2.4733411003987604+3.3675606325762625E-11i
400,300,200,1.9341448903225806E14,0.7430291108461802,0.25538710632937967,0.001583782824440193,1,0.2553869686133352,2.4733411003838883+6.772281778376741E-11i
400,360,19.999,1.9341448903225806E14,0.867823410672399,0.1251334603056612,0.007043129021939865,1,0.12513349271264365,2.4733414103847573+2.75058212739011E-11i
400,360,109.999,1.9341448903225806E14,0.7030759537595306,0.29027928501147326,0.006644761228996157,1,0.29027947464232595,2.473340995338737+1.7580540665864068E-10i
400,360,200,1.9341448903225806E14,0.7329861722972479,0.2654458139528668,0.0015680137498852728,1,0.2654459253336702,2.4733409952769256-6.29387548894045E-12i
