z_np (nm),y_np (nm),x_np (nm),T (1),A (1),R (1),R+T+A (1),Domain Probe 1 (W)
155,450,400,0.89008,0.079796,0.030129,1,0.079795
155,450,480,0.34423,0.45952,0.19625,1,0.45952
155,450,560,0.32361,0.47887,0.19752,1,0.47887
155,450,640,0.36344,0.40986,0.2267,1,0.40986
155,450,720,0.14598,0.53527,0.31875,1,0.53527
155,450,800,0.11405,0.59444,0.29151,1,0.59443
155,500,400,0.8588,0.10348,0.037716,1,0.10348
155,500,480,0.26459,0.59336,0.14205,1,0.59336
155,500,560,0.30755,0.47709,0.21536,1,0.47708
155,500,640,0.33653,0.36749,0.29598,1,0.36749
155,500,720,0.10852,0.52903,0.36245,1,0.52902
155,500,800,0.20899,0.52062,0.27039,1,0.52062
155,550,400,0.83085,0.12667,0.042479,1,0.12667
155,550,480,0.25355,0.59437,0.15208,1,0.59437
155,550,560,0.3094,0.41033,0.28027,1,0.41033
155,550,640,0.36827,0.32207,0.30966,1,0.32207
155,550,720,0.10081,0.55218,0.347,1,0.55218
155,550,800,0.32453,0.46055,0.21492,1,0.46055
155,600,400,0.80732,0.1503,0.042378,1,0.1503
155,600,480,0.25142,0.54055,0.20803,1,0.54055
155,600,560,0.37746,0.3392,0.28335,1,0.33917
155,600,640,0.37236,0.31956,0.30809,1,0.31956
155,600,720,0.1319,0.5568,0.3113,1,0.5568
155,600,800,0.36792,0.43807,0.194,1,0.43808
200,400,400,0.85962,0.10856,0.031824,1,0.10856
200,400,480,0.22315,0.50772,0.26913,1,0.50771
200,400,560,0.47075,0.30829,0.22097,1,0.30828
200,400,640,0.43085,0.34109,0.22806,1,0.34109
200,400,720,0.1428,0.58017,0.27703,1,0.58017
200,400,800,0.32691,0.47513,0.19796,1,0.47513
200,450,400,0.80704,0.14442,0.048533,1,0.14443
200,450,480,0.20191,0.49817,0.29992,1,0.49817
200,450,560,0.54895,0.2528,0.19825,1,0.2528
200,450,640,0.32409,0.41582,0.26009,1,0.41582
200,450,720,0.25994,0.53065,0.20941,1,0.53065
200,450,800,0.41807,0.41269,0.16924,1,0.41269
200,500,400,0.74189,0.18919,0.068919,1,0.18919
200,500,480,0.30944,0.41547,0.27509,1,0.41547
200,500,560,0.57169,0.23998,0.18833,1,0.23998
200,500,640,0.22607,0.49274,0.28119,1,0.49274
200,500,720,0.35447,0.47546,0.17007,1,0.47546
200,500,800,0.47117,0.36952,0.15931,1,0.36952
200,550,400,0.68509,0.23214,0.08277,1,0.23214
200,550,480,0.39421,0.35673,0.24906,1,0.35673
200,550,560,0.56157,0.24928,0.18914,1,0.24928
200,550,640,0.17381,0.54747,0.27872,1,0.54747
200,550,720,0.41903,0.41934,0.16163,1,0.41934
200,550,800,0.4976,0.36509,0.13731,1,0.36509
200,600,400,0.61683,0.2843,0.098872,1,0.28429
200,600,480,0.46011,0.31439,0.2255,1,0.31439
200,600,560,0.54406,0.26676,0.18917,1,0.26676
200,600,640,0.16999,0.5634,0.26661,1,0.5634
200,600,720,0.5149,0.35138,0.13372,1,0.35138
200,600,800,0.53252,0.34648,0.121,1,0.34648
