x_np (nm),y_np (nm),z_np (nm),freq (Hz),T (1),A (1),R (1),R+T+A (1),Domain Probe 1 (W),Effective mode index (1)
300,300,19.999999999999996,1.9341448903225806E14,0.9949663021720293,0.003939076625661175,0.0010946212023095067,1,0.003940471610344192,2.4733408726389228+1.0556247965030768E-10i
300,300,109.99999999999999,1.9341448903225806E14,0.9914305266034231,0.006720527972779,0.0018489454237978365,1,0.006720862916334622,2.473341449274677+6.640704214040581E-11i
300,300,200,1.9341448903225806E14,0.960377923170395,0.035526729083314446,0.004095347746290532,1,0.03552656440281704,2.4733414495127786-5.149425224161886E-11i
300,360,19.999999999999996,1.9341448903225806E14,0.9960896442118239,0.0030788147704897684,8.315410176863439E-4,1,0.003078937767275416,2.4733416400438695-4.308791828254793E-11i
300,360,109.99999999999999,1.9341448903225806E14,0.9879241324140083,0.009065563326916881,0.0030103042590747323,1,0.009065554130825822,2.473340987804233+2.198107529181167E-12i
300,360,200,1.9341448903225806E14,0.9126021287639845,0.08504395474618942,0.002353916489826086,1,0.08504336440860501,2.4733409877536725-8.883032975225282E-12i
300,419.99999999999994,19.999999999999996,1.9341448903225806E14,0.9957040113298352,0.0033469864016070217,9.490022685577577E-4,1,0.0033470228081683407,2.473341129641864+5.826442009614738E-11i
300,419.99999999999994,109.99999999999999,1.9341448903225806E14,0.9855723312849209,0.010915300491954216,0.0035123682231248394,1,0.01091530115765826,2.473341129538537-6.412867973276692E-11i
300,419.99999999999994,200,1.9341448903225806E14,0.9707234388215079,0.02719672660386052,0.002079834574631564,1,0.02719687513184176,2.4733411295228156+3.059260274776898E-11i
300,480,19.999999999999996,1.9341448903225806E14,0.9957485407743071,0.0034064820075089264,8.449772181840392E-4,1,0.003406514064293878,2.473340408008314+9.828495161355996E-11i
300,480,109.99999999999999,1.9341448903225806E14,0.9835475812548822,0.012038594471455943,0.004413824273661923,1,0.012038343909708744,2.4733416739116705+4.820118687115814E-11i
300,480,200,1.9341448903225806E14,0.971274913623164,0.025483404974329105,0.0032416814025069663,1,0.025483481289799777,2.473341674005486+5.916330627142824E-11i
300,540,19.999999999999996,1.9341448903225806E14,0.9954902315169867,0.0036368840274140224,8.728844555992998E-4,1,0.0036369726842108347,2.473341030343725+5.567089089662204E-11i
300,540,109.99999999999999,1.9341448903225806E14,0.98257177146247,0.012561256250783082,0.0048669722867469255,1,0.012561224794237925,2.473341030423008+7.496527514348755E-11i
300,540,200,1.9341448903225806E14,0.9694535076049406,0.026906990714915313,0.0036395016801439987,1,0.02690693285538394,2.4733410303015564-1.4457951759457495E-10i
300,600,19.999999999999996,1.9341448903225806E14,0.9953554941324821,0.003826835996983413,8.176698705344534E-4,1,0.0038269585066396414,2.473340355014058-4.622708142462025E-12i
300,600,109.99999999999999,1.9341448903225806E14,0.9780440594208656,0.01827337716192734,0.0036825634172070808,1,0.01827334483516223,2.473340445365705-1.1652052388248456E-12i
300,600,200,1.9341448903225806E14,0.9669914849933298,0.029430261013069114,0.0035782539936010946,1,0.029430266968003434,2.4733404454142374+1.6216951995224103E-12i
350,300,19.999999999999996,1.9341448903225806E14,0.9968079136063281,0.0027092272400932593,4.828591535786465E-4,1,0.0027106871242221107,2.473314867418418+1.21959897030806E-10i
350,300,109.99999999999999,1.9341448903225806E14,0.9859158900788682,0.011201558300743542,0.0028825516203883307,1,0.01120125790775652,2.4733148675156356-1.9013965440703932E-11i
350,300,200,1.9341448903225806E14,0.9310615427001837,0.06225930445057848,0.006679152849237858,1,0.06225920342479557,2.4733148674110863-4.884913544808584E-11i
350,360,19.999999999999996,1.9341448903225806E14,0.9958388748851306,0.0034186828870645947,7.424422278048299E-4,1,0.0034197451870050626,2.4733403779087735-2.1694347135032424E-11i
350,360,109.99999999999999,1.9341448903225806E14,0.9791711493595,0.015871264868841495,0.0049575857716585,1,0.01587118222029735,2.4733403778847323+1.0623748478618677E-11i
350,360,200,1.9341448903225806E14,0.9453144772905792,0.05001273281466556,0.0046727898947552795,1,0.050014014774342766,2.473340377928092-7.040145061274647E-11i
